"","H9_E8_r1","H9_E8_r2","H9_L3i_r1","H9_L3i_r2","RUES02_E8","RUES02_L3i"
"ENSG00000230756",6,9,6,13,12,12
"NOC2LP1",0,4,2,10,14,6
"DUSP28",761,649,365,270,952,749
"KRT18P52",0,0,0,0,0,0
"ENSG00000242272",0,2,0,0,0,0
"ENSG00000273165",0,0,0,0,3,3
"DPY30",5342,5850,3296,5377,7665,6357
"ENSG00000271228",8,14,0,2,18,9
"SLC30A6",4822,5859,2751,3768,7554,6680
"ENSG00000229816",22,25,78,20,36,15
"RNU6-647P",0,0,0,0,0,0
"RPL7P13",0,0,0,2,2,5
"ENSG00000212580",0,0,0,0,0,0
"ENSG00000285548",2,2,2,0,8,0
"MTCO1P42",0,0,0,0,0,0
"LOC101927089",2,2,0,0,0,0
"MIR8485",0,1,0,0,0,0
"ENSG00000238165",0,8,0,6,10,4
"ENSG00000286412",5,2,0,2,3,0
"ENSG00000287867",22,0,6,2,0,0
"RNA5SP111",0,0,0,0,0,0
"MAPRE1P3",0,0,0,0,0,0
"ENSG00000288089",0,0,0,2,0,0
"LOC124906135",0,0,0,0,0,0
"ENSG00000235993",0,0,0,0,0,1
"RNU6-613P",0,0,0,0,0,0
"FBXO36",840,868,389,708,1033,896
"RNU6-964P",0,0,0,0,0,1
"ENSG00000231534",0,0,0,0,0,1
"RNU6-1027P",0,0,0,0,0,1
"SLC16A14",5216,3457,1493,2213,5503,3668
"RNY4P19",9,0,0,0,10,0
"ENSG00000236116",0,0,0,0,0,0
"SLC19A3",90,68,88,192,206,88
"RNA5SP121",0,0,0,0,0,0
"SNRPGP8",0,0,0,0,0,0
"ENSG00000229172",0,0,2,0,0,0
"CCL20",0,0,2,0,2,0
"ENSG00000183514",0,0,0,0,0,0
"DAW1",18,14,11,14,36,28
"ENSG00000272237",0,0,0,0,0,0
"ENSG00000201006",0,0,0,0,0,0
"ENSG00000229774",0,0,0,0,0,0
"GLI2",3822,4257,4674,4341,7922,15369
"LOC124907880",10,2,4,2,4,6
"ENSG00000201584",0,0,0,0,0,0
"ENSG00000234455",0,0,0,0,0,0
"ENSG00000225963",30,5,3,5,30,3
"ENSG00000283451",0,0,0,0,0,0
"SP140",33,16,10,7,20,22
"ENSG00000279964",2,0,0,0,0,2
"ENSG00000283118",0,2,0,0,0,0
"ENSG00000279166",4,2,22,0,2,3
"ZEB2-AS1",16,10,0,1,13,5
"ENSG00000275372",0,0,0,0,0,0
"ENSG00000273537",0,0,0,0,0,0
"ENSG00000277444",0,0,0,0,0,0
"DYTN",0,0,2,0,0,2
"LPIN1",4659,3544,3684,2840,7025,6776
"ENSG00000270776",0,1,0,0,0,0
"ENSG00000286207",76,52,69,2,71,72
"ENSG00000234932",0,0,0,0,0,0
"ENSG00000226213",0,0,0,0,0,0
"CLHC1",1641,1292,1236,1081,2026,1136
"ENSG00000203327",16,7,17,2,22,2
"ENSG00000227799",159,148,30,63,139,57
"MTIF2",3572,3024,2146,1830,6200,3795
"ENSG00000162997",211,193,105,74,151,103
"ENSG00000240401",91,150,136,98,45,39
"ENSG00000206964",6,0,3,0,1,2
"ENSG00000279485",0,0,0,0,2,0
"ENSG00000228305",34,24,24,24,19,13
"RPS4XP5",2,8,3,0,24,6
"RPL27P6",0,0,0,0,10,2
"ENSG00000228872",0,0,0,0,0,0
"ENSG00000229221",2,2,0,2,2,0
"MDH1",23022,21998,8885,13327,31436,18672
"RNU6-111P",0,0,0,0,0,0
"LOC105374802",0,0,0,6,4,4
"ENSG00000285068",2,0,0,0,0,0
"RPSAP28",0,0,0,0,0,0
"ALMS1-IT1",157,226,863,677,108,158
"ENSG00000284902",6,0,0,0,4,0
"NAT8",2,1,14,0,6,9
"TPRKB",3346,2336,1001,1307,3588,3193
"ENSG00000273245",4,15,18,21,15,12
"ENSG00000280037",6,13,12,0,4,2
"GTF3C2-AS1",4,4,34,5,8,1
"GTF3C2-AS2",1772,1132,849,440,1836,843
"SNX17",18487,21358,8815,18732,28356,23651
"ZNF513",4859,3778,2666,3466,6022,4003
"PPM1G",16838,21047,25477,25210,40046,29668
"ENSG00000213453",0,57,6,47,21,44
"NRBP1",18750,19112,11940,13471,17761,17835
"KRTCAP3",82,42,65,5,46,29
"ENSG00000235267",10,1,0,1,0,2
"RNU6-986P",0,0,0,0,0,0
"FNDC4",2503,2634,1387,2436,5997,4152
"IFT172",4282,3555,2189,1225,6010,3324
"RPS17P7",0,0,0,0,0,0
"ENSG00000265451",53,29,8,16,26,40
"RNU4ATAC",4,0,2,6,7,3
"ENSG00000222467",0,0,0,0,0,0
"ENSG00000230993",6,6,24,2,11,1
"ENSG00000279721",6,7,22,4,11,0
"ENSG00000213239",2,6,0,1,8,2
"NIFK",4238,3412,2546,2814,4166,4060
"TSN",13543,16368,10916,11211,23226,20129
"ENSG00000270798",0,0,0,0,0,0
"LINC01823",8,4,28,9,6,4
"ENSG00000229143",0,0,0,0,0,0
"ACVR2A",4279,4648,2011,3088,7194,4330
"RNU6-1275P",0,0,0,0,0,0
"ENSG00000223911",2,0,0,0,0,0
"ORC4",12026,7158,5470,4554,9818,9459
"MBD5",5291,3828,6498,3751,7938,6151
"ENSG00000281469",2,2,8,6,2,8
"ENSG00000281772",0,0,0,0,0,1
"LOC124900532",0,0,0,0,0,0
"ENSG00000224007",0,2,2,0,2,2
"ENSG00000232238",0,0,0,0,0,0
"RGPD5",10,1,18,0,0,3
"LIMS3-LOC440895",0,0,0,0,0,0
"ENSG00000283684",0,0,0,0,0,0
"GPAA1P1",0,0,0,0,0,0
"ENSG00000225108",0,0,0,1,0,2
"LINC01123",12,4,6,8,11,10
"ENSG00000235721",0,0,4,1,0,0
"ENSG00000229730",0,0,0,0,0,0
"ENSG00000283283",2,0,0,0,0,0
"MIR4267",0,0,0,0,0,0
"MALL",2,0,2,0,0,0
"MIR4436B1",0,0,0,0,0,0
"ACTR1AP1",0,0,0,0,0,0
"LOC128966597",0,0,0,0,0,0
"ENSG00000282785",0,0,0,0,0,0
"MIR4436B2",0,0,1,0,0,0
"ENSG00000283167",0,0,0,0,0,1
"ENSG00000226991",4,0,0,0,2,0
"LOC442041",2,0,2,6,0,0
"LINC01106",42,18,42,18,27,6
"ENSG00000226065",0,0,0,0,0,0
"GPAA1P2",0,0,2,0,0,0
"ENSG00000273471",0,0,0,0,0,0
"ENSG00000227574",0,0,0,0,0,0
"NPHP1",676,683,292,299,1790,1484
"LINC01940",2,0,0,3,0,0
"MIR4440",0,0,0,0,0,0
"MIR4441",0,0,8,0,0,0
"ENSG00000286307",0,0,5,0,0,2
"HDAC4-AS2",2,2,3,4,4,0
"MIR4269",0,0,0,0,0,0
"MIR2467",0,2,2,0,0,0
"LOC124908011",0,2,0,0,6,0
"ENSG00000286188",0,0,0,4,0,0
"LCLAT1",1074,1340,752,902,2341,2198
"NOSTRIN",35,72,46,32,112,112
"WDSUB1",1559,1505,1998,1683,1632,1307
"EHBP1",9163,8679,3983,5301,13007,9475
"VRK2",1010,761,462,315,1834,2161
"STON1",5376,6726,5008,7538,5646,7180
"ERMN",200,70,88,72,70,63
"CERS6",6534,4380,8397,3701,12202,8578
"UBE2F",1701,2389,1441,2462,3033,2156
"DYNC1I2",29962,28252,23421,24675,45294,30275
"MTA3",8236,7347,6277,8277,15263,12381
"IDH1",11239,12292,7102,10641,21718,14113
"EIPR1",7024,6058,2078,3475,7202,4898
"MYO3B",2171,2200,1096,1243,3436,1377
"TIGD1",1745,1865,394,410,2635,1507
"CFAP36",8111,6622,5930,6376,8186,8171
"ENSG00000251775",0,1,0,0,2,0
"ENSG00000223962",0,0,0,0,0,0
"ENSG00000231079",4,7,22,1,10,2
"ENSG00000228848",0,0,0,0,6,6
"ENSG00000226340",4,0,0,0,6,4
"ENSG00000286167",0,0,0,1,0,2
"ENSG00000228236",0,4,0,10,2,0
"ENSG00000282836",0,0,0,0,2,2
"CCDC150",329,257,238,93,499,402
"LOC124900529",0,0,0,0,0,0
"GTF3C3",7557,6077,6742,6023,10004,6647
"C2orf66",8,8,38,19,10,13
"ENSG00000280176",2,1,7,4,3,2
"PGAP1",14221,11116,12474,8541,16952,12612
"HNRNPA3P15",0,0,0,0,0,0
"ENSG00000224442",0,0,0,0,0,0
"IL1R1",46,38,25,54,19,24
"IL1R1-AS1",0,2,0,0,0,0
"IL1RL2",6,0,4,0,7,0
"ENSG00000205716",0,0,0,0,0,0
"IL1RL1",0,0,2,0,0,0
"SDR42E1P5",0,0,0,0,0,0
"MIR4772",0,0,0,0,0,0
"ENSG00000236525",0,0,0,0,0,0
"ENSG00000234389",0,0,1,0,0,0
"SLC9A4",16,0,0,0,0,4
"ENSG00000241962",29,30,23,27,54,31
"LIPT1",539,452,344,396,483,495
"ENSG00000273155",0,0,0,0,4,0
"MITD1",2175,1955,1300,1170,2073,1391
"MRPL30",5847,4576,2949,2955,5933,4345
"LYG1",121,91,362,111,122,82
"TXNDC9",3137,1786,878,837,2398,2620
"SEPHS1P6",2,7,0,4,10,5
"LOC101927687",6,6,1,1,9,14
"ENSG00000227004",0,0,0,0,0,0
"RN7SL717P",0,0,0,0,0,0
"C2orf69",2916,3525,3186,3406,3888,3258
"TYW5",2254,1942,3462,1818,2247,1233
"MIR1301",1,0,0,0,2,0
"ENSG00000235072",335,259,68,140,338,324
"ENSG00000224220",0,4,14,1,0,5
"ENSG00000201160",0,0,0,0,1,0
"ENSG00000236145",0,0,0,0,0,0
"TFCP2L1",160,128,14,110,80,26
"ENSG00000238162",0,0,0,0,0,0
"ENSG00000223917",0,0,0,0,0,0
"ENSG00000237308",0,0,0,0,0,0
"ENSG00000224719",4,0,0,0,0,0
"TRIM64FP",0,0,0,0,0,0
"ENSG00000236431",0,0,0,0,0,0
"ENSG00000273305",0,0,0,0,0,0
"ENSG00000233037",0,0,0,0,0,0
"OR7E102P",0,0,0,0,0,0
"ENSG00000232717",4,4,0,2,0,5
"ENSG00000274028",0,0,0,0,0,0
"ENSG00000230083",0,0,0,0,0,0
"TRIM43",0,0,0,8,0,4
"ENSG00000236026",0,0,0,0,0,0
"LOC100421548",0,0,0,0,0,0
"ENSG00000270193",0,0,0,0,0,0
"UBTFL3",0,0,0,0,0,0
"ENSG00000275497",0,0,0,0,0,0
"ENSG00000235959",0,0,0,0,0,0
"ENSG00000236750",0,0,0,3,0,0
"ENSG00000225979",0,0,0,0,0,0
"ENSG00000213104",0,6,6,12,1,14
"SF3B1",46159,38986,49409,31180,63629,47823
"LOC124900524",0,1,2,0,0,0
"RNU6-1029P",0,0,0,0,0,0
"HSPE1",3423,5099,1491,3854,5494,4244
"HSPE1-MOB4",0,0,0,0,0,0
"MOB4",5606,5298,2476,3805,5808,4290
"ENSG00000231699",0,0,0,2,2,2
"ENSG00000287858",8,5,4,1,9,0
"CFAP210",1259,938,1034,1197,816,837
"ENSG00000226072",1,3,0,0,0,2
"PHOSPHO2",376,423,123,189,513,267
"KLHL23",10296,10579,6376,8845,18322,13414
"LOC124900531",2,1,0,0,1,0
"ENSG00000231550",15,23,19,0,35,14
"ENSG00000214369",4,11,4,6,4,2
"SSB",11894,15096,6915,9779,21574,17051
"METTL5",5345,4857,2112,3139,4639,3544
"ENSG00000227176",18,1,7,2,5,0
"RNU6-1006P",0,0,0,0,0,0
"HSPD1",30972,39198,43238,40575,61443,50691
"UBR3",8855,6126,11158,6970,15925,8447
"RPEP5",0,0,0,0,0,0
"ENSG00000231445",0,0,0,0,0,0
"EIF3EP2",12,0,2,0,0,0
"ENSG00000233397",0,0,0,0,0,0
"GCG",186,73,0,6,10,0
"LOC101929532",0,3,0,2,2,0
"ENSG00000229337",213,284,281,282,227,252
"RNA5SP112",0,0,0,0,0,0
"ENSG00000226273",0,0,0,0,0,0
"ENSG00000201102",0,0,1,0,0,2
"ENSG00000213069",0,0,10,0,4,0
"MIR4444-1",0,0,0,0,0,0
"ENSG00000225808",49,72,84,53,23,24
"MIR3128",0,0,0,0,0,0
"ENSG00000222043",90,72,13,27,90,37
"ENSG00000271825",4,4,0,0,1,2
"ENSG00000271996",0,0,2,2,1,0
"MIR6512",0,1,0,0,0,0
"H3P7",0,0,1,0,0,0
"LOC124906145",0,0,0,0,0,0
"IFT70B",1992,1585,158,511,2210,1225
"ENSG00000237655",0,0,0,0,3,0
"IFT70A",3234,2542,214,590,3146,1837
"DPP4",951,750,935,399,443,242
"ENSG00000229087",0,0,0,0,0,0
"LOC105373440",12,16,1,0,19,7
"ENSG00000224194",0,2,0,0,0,1
"LINC01804",0,0,0,0,0,0
"RPL21P35",0,0,0,0,0,0
"RPL23AP26",0,0,0,2,0,0
"ENSG00000286399",0,0,0,0,0,0
"TEX44",0,2,0,0,4,0
"RN7SL499P",2,0,0,0,0,0
"DDX1",22609,23846,8337,13173,36799,26265
"NCL",93577,109671,64702,68041,163181,167551
"ENSG00000236501",92,48,18,11,129,13
"MIR4786",8,0,7,1,1,3
"OR9S24P",0,0,0,0,0,0
"OR5S1P",0,1,0,0,2,0
"COPS9",5927,6316,4181,6378,7041,5732
"OTOS",2,6,6,4,6,6
"ENSG00000286325",0,0,0,0,0,0
"ENSG00000286183",4,0,0,0,0,0
"ENSG00000227479",0,0,0,0,0,0
"LOC124906196",0,0,0,0,0,0
"NDUFA10",10263,11599,7788,8836,17102,12378
"PRKRA",7780,8516,8318,8068,11833,8554
"PJVK",158,104,100,63,186,85
"ENSG00000238082",32,14,8,6,41,12
"PLEKHA3",5947,4379,5649,5024,5242,4763
"ENSG00000270956",7,18,12,19,14,7
"ENSG00000270277",14,42,2,23,9,24
"ENSG00000279598",0,0,10,0,0,1
"ENSG00000271011",0,2,0,0,3,2
"ENSG00000270574",12,26,6,7,36,10
"ENSG00000271141",0,6,0,0,0,1
"ENSG00000271401",15,10,2,6,9,12
"ENSG00000267784",11,5,8,15,21,2
"SNRPG",12822,8301,5638,6476,11346,10136
"ENSG00000233849",0,0,0,0,0,1
"ENSG00000235289",6,0,0,0,0,0
"ENSG00000229229",0,0,0,0,0,0
"TGFA-IT1",0,0,0,0,0,0
"PSMD1",19144,22122,9490,14184,35354,23133
"BBS5",5429,5979,3100,3816,4663,2359
"ENSG00000251569",0,0,0,0,0,0
"KLHL41",539,448,95,168,202,119
"FASTKD1",10837,7366,2182,2108,6813,2090
"ENSG00000229827",0,1,2,0,0,0
"PPIG",20164,22593,15802,14647,21737,18739
"TAF1B",3702,2880,1710,1303,3375,2817
"ENSG00000269973",616,926,428,771,771,884
"LOC105373422",4,16,4,14,4,8
"GRHL1",755,356,333,131,422,160
"ENSG00000188525",0,0,0,0,2,0
"ENSG00000260476",0,0,0,0,0,0
"ENSG00000260077",1070,1412,343,818,936,555
"KLF11",5910,5758,4618,3910,5780,5064
"ENSG00000271787",0,1,0,3,1,4
"ENSG00000233502",4,3,8,0,4,10
"LOC124900536",0,0,0,0,0,0
"RRM2",4706,8731,234,646,21815,23279
"LOC124906144",0,0,0,0,1,0
"MIR4261",0,0,0,0,0,2
"RN7SL66P",0,0,0,0,0,0
"LOC124900530",0,0,8,0,0,0
"HPCAL1",5020,5143,4044,6973,6001,4468
"SNORA80B",0,0,6,0,0,0
"ENSG00000232789",0,0,0,0,0,0
"DNPEP-AS1",67,79,43,79,80,75
"ENSG00000234638",0,0,0,0,0,0
"ENSG00000280323",0,0,0,2,0,0
"SPEG",9531,5262,6339,4294,9956,6672
"ENSG00000227432",35,53,40,41,32,21
"ENSG00000286143",0,0,0,0,0,0
"ENSG00000268896",12,9,46,3,10,10
"MIR3132",0,11,11,9,1,10
"OBSL1",36931,27086,19987,22829,42707,92436
"ENSG00000269068",25,28,10,32,27,41
"INHA",185,160,77,87,144,183
"RN7SKP213",0,0,0,0,2,0
"STK11IP",4321,3613,1676,1981,5065,4924
"LOC124908064",4,2,3,0,2,0
"SLC4A3",2712,2034,1185,1313,6794,3552
"ENSG00000267919",8,2,9,6,7,7
"ENSG00000231802",2,0,0,0,0,0
"LOC105373888",0,0,0,0,2,0
"RPL23P4",0,0,0,0,0,0
"ENSG00000234624",0,2,2,1,0,0
"SNORA70B",0,1,0,0,0,0
"ENSG00000285857",10,6,80,6,7,0
"LOC100422418",0,0,4,0,0,0
"RPS29P10",2,0,0,0,0,0
"RNU6-1145P",0,0,0,0,0,0
"SDC1",1365,1879,2975,3797,7943,5422
"ENSG00000235411",4,12,6,6,16,16
"RNU7-113P",0,1,2,0,0,1
"SLC7A15P",0,2,2,0,0,0
"RNA5SP86",0,0,0,0,0,0
"RHOB",15102,13060,12376,17762,20392,18696
"ENSG00000228950",4,2,0,2,2,0
"ENSG00000200829",4,0,0,0,0,0
"LOC100129456",0,0,0,0,0,0
"ENSG00000237617",0,0,0,0,0,0
"ENSG00000270460",0,0,0,0,0,0
"RPL5P7",0,0,0,0,0,0
"ENSG00000271151",67,29,4,2,24,10
"ENSG00000273258",0,0,0,2,0,0
"LINC01960",2,2,0,0,20,2
"RPSAP24",0,0,0,0,0,0
"OLA1",14815,15997,10656,13771,21179,18327
"ENSG00000270799",0,4,0,2,0,0
"RN7SL65P",0,0,0,0,0,0
"ENSG00000201088",0,0,0,0,0,0
"ENSG00000227180",0,0,0,0,0,0
"ENSG00000237804",0,3,0,0,7,8
"LINC01305",0,0,0,6,0,0
"ENSG00000280414",2,6,0,0,2,2
"SP9",4,28,32,140,16,22
"CIRSR",6751,7922,7100,7311,7965,6653
"SCRN3",5898,5052,1826,3210,7187,4675
"ENSG00000179997",0,0,0,0,0,0
"ENSG00000279884",0,0,0,0,0,0
"RNU6-5P",2,0,4,1,4,0
"WIPF1-AS1",0,0,0,0,0,0
"ENSG00000237126",148,161,120,104,248,177
"GIGYF2",14155,12412,15340,10188,25032,19151
"EEF1B2P7",2,0,2,0,14,0
"ENSG00000241409",0,0,4,0,1,1
"KCNJ13",322,217,19,308,164,639
"NGEF",630,775,397,634,484,880
"LOC101928881",0,0,0,0,0,0
"NEU2",0,0,0,0,0,0
"ENSG00000236449",4,2,10,4,20,8
"ENSG00000235655",11506,1936,3062,735,1711,1249
"CHRNA1",162,293,12,130,545,428
"ARL5A",6690,4957,6071,5497,5647,6289
"ENSG00000288066",862,1434,490,829,867,1488
"ENSG00000232114",0,0,0,0,0,0
"DHX57",4708,5920,2043,2797,11778,8446
"ASS1P2",17,50,49,12,36,31
"ENSG00000225284",0,0,0,0,0,0
"RNU6-851P",0,3,0,0,2,0
"RN7SL96P",0,0,0,0,0,0
"ENSG00000229692",0,0,0,0,0,0
"RNU6-198P",0,0,0,0,0,0
"ENSG00000225900",0,0,0,2,4,2
"ENSG00000202309",2,0,0,0,0,0
"ENSG00000279181",0,0,0,0,0,0
"ENSG00000257800",31,6,16,6,786,189
"ENSG00000217702",15,13,14,5,85,40
"BOLA3",917,938,98,457,1321,736
"MOB1A",16690,20259,13824,17455,23319,30283
"MTHFD2",4588,3901,5031,6007,12075,11223
"ENSG00000279201",0,0,0,0,3,0
"ENSG00000279070",4,5,0,2,3,5
"USP37",1788,1347,1642,656,4645,3475
"RN7SKP38",0,5,6,1,5,1
"CNOT9",9703,11721,4772,8444,17956,14950
"RNU6-136P",0,0,0,0,0,0
"PLCD4",435,223,108,40,555,72
"BCS1L",3666,4116,1960,2849,5477,2912
"RNF25",3778,3632,2151,2366,5188,4670
"STK36",2752,1756,593,439,3253,2390
"TTLL4",8693,7219,5072,8948,10350,11399
"CYP27A1",4180,4168,2103,4034,8285,6802
"ENSG00000286154",1,0,6,0,2,6
"ENSG00000272555",14,13,0,0,21,24
"MIR9500",0,0,0,0,0,0
"RPL23AP31",0,2,0,0,0,0
"MIR4439",0,0,0,0,0,0
"ENSG00000174325",0,8,0,2,4,0
"ENSG00000252250",0,0,0,0,0,0
"NFU1",5786,5138,2581,3962,6263,3721
"RN7SL604P",0,0,0,0,0,0
"SNORA36C",0,0,0,0,0,0
"ENSG00000232228",2,0,10,0,2,2
"ENSG00000229948",4,1,4,0,0,4
"ENSG00000231024",11,3,2,0,2,7
"ZNF142",4900,4294,6327,3782,10098,8858
"TMEM198",4594,5069,4233,3845,8358,5048
"ITPRIPL1",1361,1786,536,920,2299,2733
"CCDC74A",3041,2527,724,1108,3387,2824
"POTEJ",0,0,0,0,4,2
"TBC1D8",2799,2434,1572,1004,2983,1060
"FBXO41",4166,2291,1734,2271,11106,3981
"ATP5MC3",23889,29625,11876,22529,33632,24601
"PTMA",114622,140179,95203,108364,180102,179253
"NRP2",1201,1376,1728,1871,3456,1677
"DNPEP",5720,6339,3360,4794,7877,7062
"SP140L",4,8,2,24,2,2
"C2orf15",307,330,265,373,549,393
"GPR155",1400,1229,354,869,2741,1866
"C1D",2412,2261,1909,1676,2458,2194
"FN1",3019,1907,4319,4089,8730,13502
"ENSG00000231536",1,1,16,6,2,1
"ENSG00000216867",7,9,2,0,39,21
"BUB1",4661,6070,978,1762,10949,9808
"ENSG00000235881",2,0,0,0,0,0
"RPL5P9",2,18,2,28,8,14
"ACOXL-AS1",105,185,52,128,183,176
"BCL2L11",2900,3990,4698,5036,4993,7116
"ENSG00000230499",0,1,8,2,0,0
"ENSG00000227992",10,0,12,3,2,0
"ENSG00000271590",0,0,4,0,0,0
"WDR35",4194,3563,1767,1789,5719,4256
"OTOF",218,231,27,30,61,157
"LINC01890",0,0,1,2,0,1
"BMP10",0,0,0,70,0,0
"GKN2",0,0,0,0,0,0
"GKN1",0,0,0,0,0,0
"ENSG00000286347",0,0,0,0,2,0
"MIR3126",0,0,6,0,0,0
"RNA5SP96",0,0,0,0,0,0
"RNU6-1216P",0,0,0,0,0,0
"LOC100421347",0,0,0,0,0,0
"ANTXR1",7191,8556,4443,7948,17239,18717
"REG3A",0,0,2,0,0,0
"ENSG00000224879",0,0,0,0,0,0
"ENSG00000286227",0,0,0,0,0,0
"ENSG00000229385",29,44,8,12,157,43
"ENSG00000277171",0,0,0,0,3,0
"ENSG00000230237",0,0,0,0,0,0
"RNU6-561P",0,1,0,0,0,0
"MIR4264",0,0,0,0,0,0
"MIR8080",0,0,0,0,0,0
"ENSG00000224731",4,9,16,0,19,5
"ENSG00000223427",0,2,0,0,6,4
"LRRTM1",386,377,52,25,285,93
"ENSG00000237031",21,1,2,0,2,0
"CTNNA2",15321,18414,5483,8250,45749,19691
"GCA",4862,4375,1698,2699,4245,3877
"RNA5SP109",0,0,0,0,0,0
"EIF2AK2",7628,8889,5237,6243,12176,11837
"DNAJC10",18019,15393,11295,11307,24768,19136
"RPL31P15",0,0,0,0,0,0
"ENSG00000212404",0,0,0,0,0,0
"RNU6-1122P",0,0,1,0,0,0
"LINC00487",10,1,4,5,45,29
"ENSG00000225964",2,0,0,0,2,10
"RSAD2",286,303,64,177,225,247
"ENSG00000271947",19,36,10,20,36,12
"RNF144A",11189,13149,7715,7711,16526,12868
"SANBR",2099,1943,1038,919,4962,2721
"ENSG00000274769",4,2,9,1,11,1
"ENSG00000212978",1685,1834,891,1121,2760,1603
"C2orf74-DT",13,21,42,6,11,4
"ENSG00000173209",2532,1086,3327,916,1980,841
"ENSG00000273302",10,12,96,5,13,24
"BNIP3P45",0,0,0,0,1,0
"NMI",142,85,87,218,110,136
"TNFAIP6",0,0,7,0,0,0
"MIR4773-2",0,0,0,0,0,0
"MIR4773-1",0,0,0,0,0,0
"RN7SL124P",0,0,0,0,0,0
"RIF1",10489,6490,9048,4698,16455,14352
"ENSG00000237633",0,1,0,2,0,0
"ENSG00000279663",0,0,0,0,0,2
"CYRIA",1578,1377,575,906,5535,1736
"LOC105373496",26,24,4,8,60,6
"ARID5A",3228,2893,3634,3215,2823,4508
"KANSL3",19840,22875,18012,18533,39247,34302
"FER1L5",60,35,91,57,168,60
"LMAN2L",3260,4515,2422,4431,6199,6242
"CNNM4",18124,16387,7077,7323,13939,8945
"MIR3127",7,2,5,0,0,0
"ENSG00000273265",77,56,38,13,63,36
"CNNM3",7426,8959,5870,6524,9455,7476
"ANKRD23",88,50,45,21,63,26
"ANKRD39",637,1109,369,687,1628,681
"SEMA4C",9221,9079,7213,9139,16811,9860
"ENSG00000286654",1,3,0,0,0,1
"ENSG00000274206",0,0,0,0,0,0
"ENSG00000286864",0,6,2,0,4,0
"RAMP1",1848,1933,544,1270,690,256
"LOC124900521",0,0,0,0,0,0
"MOGAT1",0,6,8,5,0,4
"ENSG00000233751",0,0,0,0,1,0
"ENSG00000203531",2,0,2,4,1,0
"RPL31P17",2,10,1,28,6,2
"ENSG00000224121",0,0,2,0,0,0
"ENSG00000234193",0,0,2,0,0,0
"ENSG00000278083",0,3,0,4,2,2
"ACSL3",14892,17925,19743,20484,22256,17680
"KRT18P26",0,12,12,2,2,4
"LOXL3",4882,5001,1509,2787,8407,13219
"ENSG00000233872",0,0,0,0,0,0
"ENSG00000108442",0,0,0,0,0,0
"DCTN1",28975,20246,14934,15582,62313,41182
"XPO1",34415,28400,16575,14578,42821,35233
"ENSG00000235013",2,4,0,0,0,2
"EIF3EP3",17,65,25,92,36,44
"ENSG00000224331",4,0,20,0,9,0
"SNORA70F",2,2,13,0,3,0
"RNA5SP110",0,0,0,0,0,0
"GALNT3",110,102,80,111,73,34
"ENSG00000235192",9,2,0,0,0,0
"ENSG00000229195",0,0,4,0,0,1
"ENSG00000232411",0,0,1,1,0,0
"TTC21B",5971,4764,4876,3224,8537,4957
"FLACC1",166,69,20,10,104,33
"TRAK2",27843,21397,15667,12589,31924,13375
"STRADB",19952,15428,7914,11306,20262,10586
"SCYL2P1",41,97,46,2,22,28
"ENSG00000202008",0,0,0,0,0,0
"CATSPERT",67,31,33,8,32,8
"MTCO2P16",4,0,10,0,2,0
"MTATP6P16",0,0,0,0,0,0
"MTCO3P16",0,0,0,0,0,0
"MTND3P16",0,0,0,0,0,0
"MTND4LP16",0,0,0,0,0,0
"MTND4P29",0,0,0,0,2,0
"MTND5P31",0,0,2,0,0,0
"ENSG00000241790",0,0,0,0,0,0
"ENSG00000287133",19,23,27,15,26,10
"MPP4",2818,1773,1309,1851,4430,884
"RNU6-651P",4,2,4,0,5,0
"RPS2P16",12,1,26,2,5,2
"CDK15",112,83,48,153,1066,290
"ENSG00000202137",0,0,0,0,0,0
"ENSG00000231124",0,0,0,0,0,0
"RNU6-440P",0,0,0,0,0,0
"ENSG00000273209",78,128,36,54,113,82
"ALS2",14185,11508,14763,10860,28795,11523
"AGPS",8170,6921,2752,3683,15723,9844
"RNU6-936P",0,0,1,0,0,0
"CENPO",1630,2339,712,1209,5979,5233
"ENSG00000271936",89,155,7,37,351,315
"DNAJC27",2840,2294,3309,2441,2771,2227
"ENSG00000237953",2,0,2,1,3,2
"ENSG00000202479",2,0,2,1,0,2
"ENSG00000286645",0,6,0,0,2,0
"ENSG00000207069",0,1,0,0,0,0
"RN7SL856P",2,0,0,0,2,0
"ENSG00000229593",0,0,0,0,2,0
"ADCY3",1631,1677,954,1332,3930,3466
"WDR33",13209,11707,9133,8525,18306,15507
"SFT2D3",0,0,0,0,0,0
"RNY4P7",0,3,0,0,0,0
"ENSG00000200390",0,0,0,0,0,0
"ZFP91P1",2,18,31,7,17,9
"POLR2D",6133,8211,4641,6173,13638,11965
"RNU6-395P",0,0,0,0,0,0
"RPS26P19",0,0,0,0,0,0
"ENSG00000273950",1,2,6,0,4,0
"ENSG00000272667",988,567,141,302,975,755
"ENSG00000286873",497,554,27,110,872,528
"ENSG00000204399",0,0,0,0,0,0
"SAP130",5702,8089,7607,7011,14238,12502
"PSD4",8923,7524,1877,2278,6305,2671
"ENSG00000234174",4,9,1,1,3,0
"PAX8-AS1",55,58,60,63,3833,2817
"ENSG00000231292",35,26,6,4,50,4
"ENSG00000272563",6,0,2,0,2,0
"RPS27A",96726,69307,102696,81247,56065,67306
"ENSG00000225328",0,2,6,1,0,0
"ENSG00000236877",0,0,0,0,0,0
